"","Date","rlc_end_time","Specimen.ID","deltaNPQ","Species","Treatment","Temp...C.","RLC.Time","RLC.Day","Run","pmax","rETRmax","rETRmaxYpoint1","NPQmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"374",2023-03-23,"10:57:19","ul144",0.382,"ul",4,30,"10:53:17",1,2,79.01,73.08,73.08,"0.767",0.627,0.021,30.214,0,126.1,10.4,12.1,0
"375",2023-03-23,"11:02:05","hm145",0.844,"hm",1,30,"10:58:02",1,2,59.09,60.9,60.9,"1.107",0.697,0.019,36.764,0,84.8,4.9,17.4,0
"376",2023-03-23,"11:06:51","hm146",0.79,"hm",2,30,"11:02:48",1,2,76.22,84.38,84.38,"0.865",0.697,0.028,24.512,0,109.3,10.5,10.4,0
"377",2023-03-23,"11:11:19","hm147",1.03,"hm",3,30,"11:07:17",1,2,68.82,65.62,65.62,"1.154",0.79,0.034,23.046,0,87.1,8.1,10.8,0
"378",2023-03-23,"11:16:09","hm148",0.894,"hm",4,30,"11:12:06",1,2,68.74,80.62,80.62,"1.113",0.677,0.015,46.295,0,101.6,5,20.3,0
"379",2023-03-23,"11:20:47","ul145",0.485,"ul",1,30,"11:16:45",1,2,69.93,66.78,66.78,"0.814",0.647,0.015,41.79,0,108,6,17.9,0
"380",2023-03-23,"11:25:29","ul146",0.391,"ul",2,30,"11:21:27",1,2,108.94,96.6,96.6,"0.667",0.601,0.02,30.398,0,181.4,17.2,10.5,0
"381",2023-03-23,"11:30:24","ul147",0.423,"ul",3,30,"11:26:22",1,2,116.57,97.86,97.86,"0.809",0.556,0.021,26.274,0,209.7,24.6,8.5,0
"382",2023-03-23,"11:34:53","ul148",0.693,"ul",4,30,"11:30:50",1,2,122.84,98.12,98.12,"1.129",0.546,0.023,23.739,0,224.8,30.1,7.5,0
"383",2023-03-24,"8:03:43","hm105",1.243,"hm",1,24,"7:59:41",5,2,43.62,51.25,41.38,"1.274",1.066,0.077,13.791,0,40.9,4.6,8.9,0
"384",2023-03-24,"8:08:21","hm106",1.006,"hm",2,24,"8:04:18",5,2,47.44,64.38,64.38,"1.063",0.818,0.039,21.001,0,58,5,11.6,0
"385",2023-03-24,"8:13:06","hm107",0.875,"hm",3,24,"8:09:04",5,2,48.24,49.98,49.98,"0.923",0.789,0.014,54.675,0,61.2,2.1,29.6,0
"386",2023-03-24,"8:17:43","hm108",0.797,"hm",4,24,"8:13:40",5,2,39.73,44.37,36.88,"0.866",0.948,0.09,10.569,0,41.9,6.2,6.7,0
"387",2023-03-24,"8:22:19","ul105",0.371,"ul",1,24,"8:18:17",5,2,51.8,49.97,49.97,"0.41",0.766,0.056,13.801,0,67.6,9.4,7.2,0
"388",2023-03-24,"8:27:15","ul106",0.332,"ul",2,24,"8:23:12",5,2,88.19,81.48,81.48,"0.476",0.651,0.016,41.18,0,135.5,8.4,16.1,0
"389",2023-03-24,"8:31:46","ul107",0.391,"ul",3,24,"8:27:44",5,2,72.67,67.26,67.26,"0.428",0.661,0.021,31.289,0,110,8.3,13.3,0
"390",2023-03-24,"8:36:31","ul108",0.517,"ul",4,24,"8:32:28",5,2,80.92,72.11,72.11,"0.606",0.619,0.031,19.706,0,130.7,16.7,7.8,0
"391",2023-03-24,"8:40:54","hm109",0.852,"hm",1,27,"8:36:51",5,2,27.77,37.5,28.5,"1.49",0.751,0.035,21.649,0,37,2.5,14.5,0
"392",2023-03-24,"8:45:40","hm110",0.887,"hm",2,27,"8:41:38",5,2,51.37,66.25,66.25,"1.171",0.731,0.027,27.499,0,70.2,5,14.1,0
"393",2023-03-24,"8:50:19","hm111",1.049,"hm",3,27,"8:46:17",5,2,48.3,47.03,47.03,"1.019",0.909,0.036,25.02,0,53.1,3.7,14.4,0
"394",2023-03-24,"8:54:42","hm112",0.507,"hm",4,27,"8:50:40",5,2,42.71,45.36,45.36,"0.772",0.605,0.027,22.231,0,70.7,6.2,11.3,0
"395",2023-03-24,"8:59:10","ul109",0.195,"ul",1,27,"8:55:08",5,2,55.07,52.82,52.82,"0.337",0.748,0.032,23.269,0,73.6,6.3,11.7,0
"396",2023-03-24,"9:04:14","ul110",0.269,"ul",2,27,"9:00:11",5,2,51.96,52.16,52.16,"0.312",0.662,0.021,31.841,0,78.6,5.1,15.5,0
"397",2023-03-24,"9:08:54","ul111",0.302,"ul",3,27,"9:04:52",5,2,62.46,61.84,61.84,"0.39",0.65,0.022,29.253,0,96.2,7.3,13.1,0
"398",2023-03-24,"9:13:31","ul112",0.461,"ul",4,27,"9:09:28",5,2,69.22,64.41,64.41,"0.532",0.682,0.032,21.08,0,101.4,11,9.3,0
"399",2023-03-24,"9:18:18","hm113",0.7,"hm",1,27,"9:14:16",5,2,45.47,48.75,47.88,"0.994",0.694,0.017,41.443,0,65.5,3,21.8,0
"400",2023-03-24,"9:22:41","hm114",0.84,"hm",2,27,"9:18:38",5,2,50.16,56.88,50.73,"0.888",0.724,0.018,41.067,0,69.3,3.3,21.1,0
"401",2023-03-24,"9:27:32","hm115",0.781,"hm",3,27,"9:23:29",5,2,44.66,61.88,49.56,"1.092",0.677,0.035,19.345,0,66,6.5,10.2,0
