date,ID,Species,weight difference,run,lanai side,treatment,temperature,Initial weight,final weight,plant ID,RLC order, lunar phase
9/29/21,Ul1-3,Ul,0.0322,1,diamond,3,20 C,0.2951,0.8293,7,6,IV
9/29/21,Ul1-4,Ul,0.0357,1,diamond,4,20 C,0.2943,0.5555,7,6,IV
9/29/21,Hm2-1,Hm,0.0535,1,diamond,1,20 C,0.2621,0.339,8,5,IV
9/29/21,Hm2-2,Hm,0.0178,1,diamond,2,20 C,0.2155,0.0846,8,5,IV
9/29/21,Hm2-3,Hm,0.0206,1,diamond,3,20 C,0.2727,0.31,8,5,IV
9/29/21,Hm2-4,Hm,0.0399,1,diamond,4,20 C,0.2583,0.2335,8,5,IV
9/29/21,Ul2-1,Ul,0.0364,1,diamond,1,20 C,0.2895,0.5528,8,5,IV
9/29/21,Ul2-2,Ul,0.0349,1,diamond,2,20 C,0.2846,0.5605,8,5,IV
9/29/21,Ul2-3,Ul,0.0375,1,diamond,3,20 C,0.2944,0.5265,8,5,IV
9/29/21,Ul2-4,Ul,0.0325,1,diamond,4,20 C,0.2925,0.5983,8,5,IV
9/29/21,Hm3-1,Hm,0.0341,1,diamond,1,27 C,0.2834,0.4198,9,2,IV
9/29/21,Hm3-2,Hm,0.0318,1,diamond,2,27 C,0.29405,0.3718,9,2,IV
9/29/21,Hm3-3,Hm,0.0549,1,diamond,3,27 C,0.2676,0.3561,9,2,IV
9/29/21,Hm3-4,Hm,0.0379,1,diamond,4,27 C,0.2989,0.3948,9,2,IV
9/29/21,Ul3-1,Ul,0.0403,1,diamond,1,27 C,0.2614,0.3021,9,2,IV
9/29/21,Ul3-2,Ul,0.0378,1,diamond,2,27 C,0.2731,0.4731,9,2,IV
9/29/21,Ul3-3,Ul,0.0305,1,diamond,3,27 C,0.2954,0.5799,9,2,IV
9/29/21,Ul3-4,Ul,0.0366,1,diamond,4,27 C,0.3056,0.5308,9,2,IV
9/29/21,Hm4-1,Hm,0.047,1,diamond,1,27 C,0.2430,0.3565,10,1,IV
9/29/21,Hm4-2,Hm,0.0512,1,diamond,2,27 C,0.2767,0.3629,10,1,IV
9/29/21,Hm4-3,Hm,0.0304,1,diamond,3,27 C,0.2883,0.3752,10,1,IV
9/29/21,Hm4-4,Hm,0.0408,1,diamond,4,27 C,0.2922,0.3812,10,1,IV
9/29/21,Ul4-1,Ul,0.0545,1,diamond,1,27 C,0.3004,0.5448,10,1,IV
9/29/21,Ul4-2,Ul,0.0393,1,diamond,2,27 C,0.3011,0.5915,10,1,IV
9/29/21,Ul4-3,Ul,0.0434,1,diamond,3,27 C,0.2796,0.4937,10,1,IV
9/29/21,Ul4-4,Ul,0.0334,1,diamond,4,27 C,0.2978,0.4189,10,1,IV
9/29/21,Hm5-1,Hm,0.0224,1,diamond,1,30 C,0.27525,0.4125,11,4,IV
9/29/21,Hm5-2,Hm,0.0353,1,diamond,2,30 C,0.2915,0.3803,11,4,IV
9/29/21,Hm5-3,Hm,0.0378,1,diamond,3,30 C,0.2895,0.4037,11,4,IV
9/29/21,Hm5-4,Hm,0.025,1,diamond,4,30 C,0.2644,0.3523,11,4,IV
9/29/21,Ul5-1,Ul,0.0559,1,diamond,1,30 C,0.2729,0.3249,11,4,IV
9/29/21,Ul5-2,Ul,0.0311,1,diamond,2,30 C,0.2444,0.4354,11,4,IV
9/29/21,Ul5-3,Ul,0.0455,1,diamond,3,30 C,0.274,0.5318,11,4,IV
9/29/21,Ul5-4,Ul,0.0409,1,diamond,4,30 C,0.2576,0.4836,11,4,IV
9/29/21,Hm6-1,Hm,0.0719,1,diamond,1,30 C,0.2485,0.30015,12,3,IV
9/29/21,Hm6-2,Hm,0.0335,1,diamond,2,30 C,0.2944,0.3653,12,3,IV
9/29/21,Hm6-3,Hm,0.0259,1,diamond,3,30 C,0.24765,0.352,12,3,IV
9/29/21,Hm6-4,Hm,0.0277,1,diamond,4,30 C,0.2962,0.3586,12,3,IV
9/29/21,Ul6-1,Ul,0.0423,1,diamond,1,30 C,0.3034,0.4222,12,3,IV
9/29/21,Ul6-2,Ul,0.0421,1,diamond,2,30 C,0.2861,0.3954,12,3,IV
9/29/21,Ul6-3,Ul,0.037,1,diamond,3,30 C,0.2854,0.5645,12,3,IV
9/29/21,Ul6-4,Ul,0.0395,1,diamond,4,30 C,0.2828,0.5189,12,3,IV
10/8/21,Hm1-1,Hm,0.2503,2,ewa,1,30 C,0.2973,0.5476,13,4,I
10/8/21,Hm1-2,Hm,0.1258,2,ewa,2,30 C,0.2981,0.4239,13,4,I
10/8/21,Hm1-3,Hm,0.1295,2,ewa,3,30 C,0.2814,0.4109,13,4,I
10/8/21,Hm1-4,Hm,0.0533,2,ewa,4,30 C,0.2844,0.3377,13,4,I
10/8/21,Ul1-1,Ul,0.2371,2,ewa,1,30 C,0.3059,0.543,13,4,I
10/8/21,Ul1-2,Ul,0.19,2,ewa,2,30 C,0.2841,0.4741,13,4,I
10/8/21,Ul1-3,Ul,0.2344,2,ewa,3,30 C,0.2896,0.524,13,4,I
10/8/21,Ul1-4,Ul,0.2548,2,ewa,4,30 C,0.2699,0.5247,13,4,I
10/8/21,Hm2-1,Hm,0.1908,2,ewa,1,30 C,0.2946,0.4854,14,5,I
10/8/21,Hm2-2,Hm,0.0948,2,ewa,2,30 C,0.2882,0.383,14,5,I
10/8/21,Hm2-3,Hm,0.1543,2,ewa,3,30 C,0.2851,0.4394,14,5,I
10/8/21,Hm2-4,Hm,-0.0169,2,ewa,4,30 C,0.2886,0.2717,14,5,I
10/8/21,Ul2-1,Ul,0.114,2,ewa,1,30 C,0.2935,0.4075,14,5,I
10/8/21,Ul2-2,Ul,0.1684,2,ewa,2,30 C,0.2414,0.4098,14,5,I
10/8/21,Ul2-3,Ul,0.2302,2,ewa,3,30 C,0.2907,0.5209,14,5,I
10/8/21,Ul2-4,Ul,0.1919,2,ewa,4,30 C,0.2934,0.4853,14,5,I
10/8/21,Hm3-1,Hm,0.1638,2,ewa,1,27 C,0.2907,0.4344,15,6,I
10/8/21,Hm3-2,Hm,0.0709,2,ewa,2,27 C,0.2712,0.3421,15,6,I
10/8/21,Hm3-3,Hm,0.0498,2,ewa,3,27 C,0.2962,0.346,15,6,I
10/8/21,Hm3-4,Hm,-0.0389,2,ewa,4,27 C,0.2886,0.2497,15,6,I
10/8/21,Ul3-1,Ul,0.1629,2,ewa,1,27 C,0.2751,0.438,15,6,I
10/8/21,Ul3-2,Ul,0.2595,2,ewa,2,27 C,0.2938,0.5533,15,6,I
10/8/21,Ul3-3,Ul,0.2244,2,ewa,3,27 C,0.2829,0.5073,15,6,I
10/8/21,Ul3-4,Ul,0.1918,2,ewa,4,27 C,0.2754,0.4672,15,6,I
10/8/21,Hm4-1,Hm,0.0547,2,ewa,1,27 C,0.2922,0.3469,16,1,I
10/8/21,Hm4-2,Hm,0.0813,2,ewa,2,27 C,0.2568,0.3381,16,1,I
10/8/21,Hm4-3,Hm,0.0482,2,ewa,3,27 C,0.2954,0.3436,16,1,I
10/8/21,Hm4-4,Hm,-0.0019,2,ewa,4,27 C,0.2772,0.2753,16,1,I
10/8/21,Ul4-1,Ul,-0.0097,2,ewa,1,27 C,0.2897,0.28,16,1,I
10/8/21,Ul4-2,Ul,0.2108,2,ewa,2,27 C,0.2999,0.5107,16,1,I
10/8/21,Ul4-3,Ul,0.1082,2,ewa,3,27 C,0.3022,0.4104,16,1,I
10/8/21,Ul4-4,Ul,0.1648,2,ewa,4,27 C,0.2943,0.4591,16,1,I
10/8/21,Hm5-1,Hm,0.2559,2,ewa,1,20 C,0.2979,0.5538,17,2,I
10/8/21,Hm5-2,Hm,-0.25488,2,ewa,2,20 C,0.2998,0.4492,17,2,I
10/8/21,Hm5-3,Hm,0.0928,2,ewa,3,20 C,0.2968,0.3896,17,2,I
10/8/21,Hm5-4,Hm,0.0496,2,ewa,4,20 C,0.2466,0.2962,17,2,I
10/8/21,Ul5-1,Ul,0.0059,2,ewa,1,20 C,0.2999,0.3058,17,2,I
10/8/21,Ul5-2,Ul,-0.0626,2,ewa,2,20 C,0.2643,0.2017,17,2,I
10/8/21,Ul5-3,Ul,0.0809,2,ewa,3,20 C,0.2406,0.3215,17,2,I
10/8/21,Ul5-4,Ul,0.0821,2,ewa,4,20 C,0.2754,0.3575,17,2,I
10/8/21,Hm6-1,Hm,0.2102,2,ewa,1,20 C,0.2919,0.4634,18,3,I
10/8/21,Hm6-2,Hm,0.0981,2,ewa,2,20 C,0.2866,0.3847,18,3,I
10/8/21,Hm6-3,Hm,0.1029,2,ewa,3,20 C,0.28325,0.3989,18,3,I
10/8/21,Hm6-4,Hm,0.0959,2,ewa,4,20 C,0.27425,0.3747,18,3,I
10/8/21,Ul6-1,Ul,0.1212,2,ewa,1,20 C,0.2767,0.3979,18,3,I
10/8/21,Ul6-2,Ul,0.0681,2,ewa,2,20 C,0.2982,0.3663,18,3,I
10/8/21,Ul6-3,Ul,0.0965,2,ewa,3,20 C,0.2921,0.3886,18,3,I
10/8/21,Ul6-4,Ul,0.1872,2,ewa,4,20 C,0.2931,0.4803,18,3,I
10/9/21,Hm1-1,Hm,0.2197,2,diamond,1,20 C,0.2979,0.5176,19,4,I
10/9/21,Hm1-2,Hm,0.1285,2,diamond,2,20 C,0.3067,0.4352,19,4,I
10/9/21,Hm1-3,Hm,0.0919,2,diamond,3,20 C,0.2593,0.3512,19,4,I
10/9/21,Hm1-4,Hm,0.0745,2,diamond,4,20 C,0.2794,0.3588,19,4,I
10/9/21,Ul1-1,Ul,-0.0371,2,diamond,1,20 C,0.293,0.2559,19,4,I
10/9/21,Ul1-2,Ul,-0.042,2,diamond,2,20 C,0.2963,0.2543,19,4,I
10/9/21,Ul1-3,Ul,-0.0416,2,diamond,3,20 C,0.2969,0.2553,19,4,I
10/9/21,Ul1-4,Ul,0.2529,2,diamond,4,20 C,0.2967,0.5496,19,4,I
10/9/21,Hm2-1,Hm,0.1218,2,diamond,1,20 C,0.3031,0.4249,20,5,I
10/9/21,Hm2-2,Hm,0.0673,2,diamond,2,20 C,0.2967,0.364,20,5,I
10/9/21,Hm2-3,Hm,0.0667,2,diamond,3,20 C,0.2692,0.3359,20,5,I
10/9/21,Hm2-4,Hm,0.0616,2,diamond,4,20 C,0.2995,0.3611,20,5,I
10/9/21,Ul2-1,Ul,0.1808,2,diamond,1,20 C,0.2729,0.4537,20,5,I
10/9/21,Ul2-2,Ul,0.1175,2,diamond,2,20 C,0.2994,0.4169,20,5,I
10/9/21,Ul2-3,Ul,0.2001,2,diamond,3,20 C,0.2594,0.4595,20,5,I
10/9/21,Ul2-4,Ul,0.03,2,diamond,4,20 C,0.2735,0.3035,20,5,I
