"","Date","Specimen.ID","uid","Plant.ID","Species","Lanai.Side","Treatment","Temp...C.","RLC.Order","RLC.Day","Run","deltaNPQ","rETRmax","ETRmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"242","2021-09-29","hm4-2","2021-09-29_hm4-2",10,"hm","diamond","2",27,1,9,1,"0.84",69.7,29.27,0.75,0.164,4.575,0.003,73.5,18.6,4,0
"243","2021-09-29","hm4-3","2021-09-29_hm4-3",10,"hm","diamond","3",27,1,9,1,"0.55",44.28,18.6,0.868,0.28,3.1,0.017,40.9,14.4,2.8,0
"244","2021-09-29","hm4-4","2021-09-29_hm4-4",10,"hm","diamond","4",27,1,9,1,"0.51",44.28,18.6,0.815,0.178,4.588,0.003,46.7,11.2,4.2,0
"245","2021-09-29","ul4-1","2021-09-29_ul4-1",10,"ul","diamond","1",27,1,9,1,"0.235",54.72,22.98,0.967,0.413,2.34,0.052,46.4,21.9,2.1,0.1
"246","2021-09-29","ul4-2","2021-09-29_ul4-2",10,"ul","diamond","2",27,1,9,1,"0.383",43.89,18.43,1.516,2.441,0.621,0.554,22.8,37.9,0.6,0.6
"247","2021-09-29","ul4-3","2021-09-29_ul4-3",10,"ul","diamond","3",27,1,9,1,"0.39",65.94,27.69,0.72,0.103,6.979,0,84.1,14.2,5.9,0
"248","2021-09-29","ul4-4","2021-09-29_ul4-4",10,"ul","diamond","4",27,1,9,1,"0.503",99.12,41.63,0.775,0.092,8.384,0,120.7,17.7,6.8,0
"249","2021-09-29","hm3-1","2021-09-29_hm3-1",9,"hm","diamond","1",27,2,9,1,"0.413",45.1,18.94,0.609,0.106,5.754,0.001,64.1,12.7,5,0
"250","2021-09-29","hm3-2","2021-09-29_hm3-2",9,"hm","diamond","2",27,2,9,1,"0.444",43.46,18.25,0.611,0.185,3.294,0.013,53.5,18.2,2.9,0
"251","2021-09-29","hm3-3","2021-09-29_hm3-3",9,"hm","diamond","3",27,2,9,1,"0.63",63.14,26.52,0.59,0.072,8.173,0,93.7,13.7,6.9,0
"252","2021-09-29","hm3-4","2021-09-29_hm3-4",9,"hm","diamond","4",27,2,9,1,"0.444",61.5,25.83,0.65,0.098,6.605,0,80.9,14.3,5.6,0
"253","2021-09-29","ul3-1","2021-09-29_ul3-1",9,"ul","diamond","1",27,2,9,1,"0.338",60.99,25.62,0.863,0.183,4.705,0.002,61.4,14.8,4.1,0
"254","2021-09-29","ul3-2","2021-09-29_ul3-2",9,"ul","diamond","2",27,2,9,1,"0.351",50.45,21.19,0.758,0.221,3.436,0.011,57.2,18.8,3,0
