"","Date","Specimen.ID","uid","Plant.ID","Species","Lanai.Side","Treatment","Temp...C.","RLC.Order","RLC.Day","Run","deltaNPQ","rETRmax","ETRmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"141","2021-09-24","ul5-1","2021-09-24_ul5-1",5,"ul","ewa","1",20,6,5,1,"0.422",65.1,27.34,0.695,0.025,27.479,0,83,0,8131.6,0
"142","2021-09-24","ul5-2","2021-09-24_ul5-2",5,"ul","ewa","2",20,6,5,1,"0.602",70.98,29.81,0.725,0.027,27.28,0,88.4,0,8436.4,0
"143","2021-09-24","ul5-3","2021-09-24_ul5-3",5,"ul","ewa","3",20,6,5,1,"0.61",79.23,33.28,0.718,0.06,11.903,0,105.5,12.3,8.6,0
"144","2021-09-24","ul5-4","2021-09-24_ul5-4",5,"ul","ewa","4",20,6,5,1,"0.592",105,44.1,0.71,0.024,29.839,0,149.2,0,13396.4,0
"145","2021-09-25","hm2-1","2021-09-25_hm2-1",8,"hm","diamond","1",20,1,5,1,"0.847",91.02,38.23,0.682,0.019,36.296,0,138.7,0,15455.7,0
"146","2021-09-25","hm2-2","2021-09-25_hm2-2",8,"hm","diamond","2",20,1,5,1,"0.279",109.06,45.81,0.633,0.021,29.589,0,170.7,9.1,18.7,0
"147","2021-09-25","hm2-3","2021-09-25_hm2-3",8,"hm","diamond","3",20,1,5,1,"0.719",54.94,23.07,0.644,0.051,12.611,0,84.1,8.7,9.7,0
"148","2021-09-25","hm2-4","2021-09-25_hm2-4",8,"hm","diamond","4",20,1,5,1,"0.52",90.2,37.88,0.61,0.026,23.17,0,122.5,0,9020.8,0
"149","2021-09-25","ul2-1","2021-09-25_ul2-1",8,"ul","diamond","1",20,1,5,1,"0.286",49.02,20.59,0.725,0.038,19.191,0,65.3,4.1,15.7,0
"150","2021-09-25","ul2-2","2021-09-25_ul2-2",8,"ul","diamond","2",20,1,5,1,"0.453",65.55,27.53,0.753,0.04,18.876,0,82.2,5.6,14.6,0
"151","2021-09-25","ul2-3","2021-09-25_ul2-3",8,"ul","diamond","3",20,1,5,1,"0.43",52.06,21.87,0.747,0.049,15.344,0,71.4,5.8,12.3,0
"152","2021-09-25","ul2-4","2021-09-25_ul2-4",8,"ul","diamond","4",20,1,5,1,"0.665",63.84,26.81,0.77,0.033,23.296,0,80.3,4.4,18.1,0
"153","2021-09-25","hm1-1","2021-09-25_hm1-1",7,"hm","diamond","1",20,2,5,1,"0.747",104.96,44.08,0.637,0.018,35.801,0,149.8,6.4,23.4,0
"154","2021-09-25","hm1-2","2021-09-25_hm1-2",7,"hm","diamond","2",20,2,5,1,"0.564",58.22,24.45,0.639,0.009,74.495,0,86.3,1.5,56.7,0
"155","2021-09-25","hm1-3","2021-09-25_hm1-3",7,"hm","diamond","3",20,2,5,1,"0.76",91.02,38.23,0.635,0.011,58.647,0,146.3,0,25966.7,0
"156","2021-09-25","hm1-4","2021-09-25_hm1-4",7,"hm","diamond","4",20,2,5,1,"0.735",57,23.94,0.653,0.031,21.368,0,108.4,0,7627.6,0
"157","2021-09-25","ul1-1","2021-09-25_ul1-1",7,"ul","diamond","1",20,2,5,1,"0.379",65.84,27.65,0.747,0.027,27.503,0,83.8,4,21.1,0
"158","2021-09-25","ul1-2","2021-09-25_ul1-2",7,"ul","diamond","2",20,2,5,1,"0.542",75.24,31.6,0.764,0.036,21.358,0,95.1,6,15.8,0
"159","2021-09-25","ul1-3","2021-09-25_ul1-3",7,"ul","diamond","3",20,2,5,1,"0.598",68.4,28.73,0.758,0.026,28.973,0,85.4,0,8746.4,0
"160","2021-09-25","ul1-4","2021-09-25_ul1-4",7,"ul","diamond","4",20,2,5,1,"1.054",106.26,44.63,0.763,0.041,18.398,0,134.1,10.8,12.4,0
"161","2021-09-25","hm4-1","2021-09-25_hm4-1",10,"hm","diamond","1",27,3,5,1,"0.973",63.96,26.86,0.686,0.091,7.551,0,75.5,12.7,6,0
"162","2021-09-25","hm4-2","2021-09-25_hm4-2",10,"hm","diamond","2",27,3,5,1,"0.932",53.01,22.26,0.677,0.033,20.735,0,92,0,6594.7,0
